mechanism,intensity,tier,mean_survival,std_survival,ate,cohens_d,n_runs
Competition,0.00,none,0.736600,0.046264,0.000000,0.000000,20
Competition,0.00,basic,0.736100,0.040672,-0.000500,-0.011479,20
Competition,0.00,advanced,0.728300,0.043785,-0.008300,-0.184273,20
Competition,0.00,premium,0.721950,0.046766,-0.014650,-0.314946,20
Competition,1.00,none,0.621400,0.047569,0.000000,0.000000,20
Competition,1.00,basic,0.575600,0.081017,-0.045800,-0.689419,20
Competition,1.00,advanced,0.556300,0.046028,-0.065100,-1.390893,20
Competition,1.00,premium,0.530800,0.047234,-0.090600,-1.911335,20
Hallucination,0.00,none,0.600250,0.049658,0.000000,0.000000,20
Hallucination,0.00,basic,0.548500,0.077841,-0.051750,-0.792640,20
Hallucination,0.00,advanced,0.553950,0.060239,-0.046300,-0.838735,20
Hallucination,0.00,premium,0.548500,0.051635,-0.051750,-1.021599,20
Hallucination,1.00,none,0.599800,0.076480,0.000000,0.000000,20
Hallucination,1.00,basic,0.581000,0.055745,-0.018800,-0.280931,20
Hallucination,1.00,advanced,0.549250,0.043150,-0.050550,-0.814100,20
Hallucination,1.00,premium,0.543950,0.059119,-0.055850,-0.817084,20
Overconfidence,0.00,none,0.607100,0.057424,0.000000,0.000000,20
Overconfidence,0.00,basic,0.578850,0.056591,-0.028250,-0.495537,20
Overconfidence,0.00,advanced,0.542100,0.053631,-0.065000,-1.169912,20
Overconfidence,0.00,premium,0.548550,0.064697,-0.058550,-0.957190,20
Overconfidence,1.00,none,0.606350,0.060462,0.000000,0.000000,20
Overconfidence,1.00,basic,0.553950,0.045951,-0.052400,-0.975804,20
Overconfidence,1.00,advanced,0.567700,0.044630,-0.038650,-0.727337,20
Overconfidence,1.00,premium,0.534250,0.053827,-0.072100,-1.259586,20
NoveltyConstraint,0.00,none,0.615300,0.053064,0.000000,0.000000,20
NoveltyConstraint,0.00,basic,0.587850,0.044410,-0.027450,-0.561020,20
NoveltyConstraint,0.00,advanced,0.555800,0.063742,-0.059500,-1.014554,20
NoveltyConstraint,0.00,premium,0.543600,0.065207,-0.071700,-1.206130,20
NoveltyConstraint,1.00,none,0.601250,0.049375,0.000000,0.000000,20
NoveltyConstraint,1.00,basic,0.548200,0.065213,-0.053050,-0.917210,20
NoveltyConstraint,1.00,advanced,0.556350,0.058315,-0.044900,-0.831016,20
NoveltyConstraint,1.00,premium,0.525250,0.058128,-0.076000,-1.409256,20
AICost,0.00,none,0.574800,0.060351,0.000000,0.000000,20
AICost,0.00,basic,0.579950,0.048787,0.005150,0.093850,20
AICost,0.00,advanced,0.561250,0.039838,-0.013550,-0.264992,20
AICost,0.00,premium,0.557300,0.072241,-0.017500,-0.262912,20
AICost,1.00,none,0.562850,0.055018,0.000000,0.000000,20
AICost,1.00,basic,0.565500,0.054230,0.002650,0.048512,20
AICost,1.00,advanced,0.547850,0.031025,-0.015000,-0.335850,20
AICost,1.00,premium,0.517350,0.062775,-0.045500,-0.770874,20
